Date,DoW,PH
2021-01-01,Friday,New Year's Day
2021-02-12,Friday,Chinese New Year
2021-02-13,Saturday,
2021-04-02,Friday,Good Friday
2021-05-01,Saturday,Labour Day
2021-05-13,Thursday,Hari Raya Puasa
2021-05-26,Wednesday,Vesak Day
2021-07-20,Tuesday,Hari Raya Haji
2021-08-09,Monday,"National DaySaturday, 21 August 2021 is not a public holiday."
2021-11-04,Thursday,Deepavali
2021-12-25,Saturday,Christmas Day
2022-01-01,Saturday,New Year’s Day
2022-02-01,Tuesday,Chinese New Year
2022-02-02,Wednesday,Chinese New Year
2022-04-15,Friday,Good Friday
2022-05-01,Sunday,"Labour DayMonday, 2 May 2022, will be a public holiday if your rest day falls on 1 May 2022."
2022-05-02,Monday,
2022-05-03,Tuesday,Hari Raya Puasa
2022-05-15,Sunday,"Vesak DayMonday, 16 May 2022, will be a public holiday if your rest day falls on 15 May 2022."
2022-05-16,Monday,
2022-07-10,Sunday,"Hari Raya HajiMonday, 11 July 2022, will be a public holiday if your rest day falls on 10 July 2022."
2022-07-11,Monday,
2022-08-09,Tuesday,National Day
2022-10-24,Monday,Deepavali
2022-12-25,Sunday,"Christmas DayMonday, 26 December 2022, will be a public holiday if your rest day falls on 25 December 2022."
2022-12-26,Monday,
2023-01-01,Sunday,New Year’s Day
2023-01-02,Monday,New Year’s Day
2023-01-22,Sunday,Chinese New Year
2023-01-23,Monday,Chinese New Year
2023-01-24,Tuesday,Chinese New Year
2023-04-07,Friday,Good Friday
2023-04-22,Saturday,Hari Raya Puasa
2023-05-01,Monday,Labour Day
2023-06-03,Saturday,Vesak Day
2023-06-29,Thursday,Hari Raya Haji
2023-08-09,Wednesday,National Day
2023-11-12,Sunday,Deepavali
2023-11-13,Monday,Deepavali
2023-12-25,Monday,Christmas Day
2024-01-01,Mon,New Year's Day
2024-02-10,Sat,Chinese New Year
2024-02-11,Sun,Chinese New Year Holiday
2024-02-12,Mon,Chinese New Year Holiday
2024-03-29,Fri,Good Friday
2019-01-01,,
2019-02-05,,
2019-02-06,,
2019-04-19,,
2019-05-01,,
2019-05-20,,
2019-06-05,,
2019-08-09,,
2019-10-28,,
2019-12-25,,
2020-01-01,,
2020-01-27,,
2020-04-10,,
2020-05-01,,
2020-05-07,,
2020-05-25,,
2020-07-31,,
2020-08-10,,
2020-11-14,,
2020-12-25,,
